"CustomerId","CardNo","IsCreditCard","Balance"
15634602,684618,1,5
15647311,357092,0,41921.93
15647311,802678,0,41912.93
15619304,888594,1,79846.4
15619304,987103,0,79859.4
15701354,507476,0,28
15701354,928960,0,19
15737888,370210,1,62789.41
15737888,935036,0,62781.41
15574012,581042,1,113786.78
15592531,526486,1,3
15656148,954939,1,115057.74
15792365,596226,0,142085.07
15592389,905156,1,134637.88
15767821,593318,0,51033.36
15767821,174481,0,51018.36
15737173,859293,1,26
15632264,409897,1,10
15691483,266274,0,32
15600882,635915,1,16
15643966,526841,0,143161.41
15737452,939228,1,66323.44
15737452,859194,0,66331.44
15788218,577409,1,10
15661507,939924,0,0
15568982,206013,1,21
15568982,699760,0,31
15577657,746737,1,9
15577657,182421,0,11
15597945,751607,1,3
15597945,611096,0,28
15699309,674159,1,2
15699309,695199,0,6
15725737,192846,0,2
15625047,248756,1,34
15738191,767700,0,16
15736816,848776,1,68424.82
15736816,167143,0,68415.82
15700772,891653,0,13
15700772,574396,0,15
15728693,462323,1,141349.43
15656300,995739,1,59712.17
15589475,821707,1,4
15589475,437425,0,23
15706552,845911,0,42667.85
15706552,675155,0,42663.85
15750181,344808,0,110114.54
15659428,353142,1,13
15659428,283138,0,4
15732963,669079,1,28
15732963,249198,0,16
15794171,700103,1,134287.04
15788448,909160,0,72650.115
15788448,352477,0,72662.115
15729599,642801,0,38294.3
15729599,803567,0,38283.3
15717426,375013,1,13
15585768,107087,0,70362.48
15619360,677767,1,3
15738148,981943,0,61281.16
15738148,195093,0,61271.16
15687946,253841,1,117428.35
15755196,101055,0,65706.28
15755196,773684,0,65730.28
15684171,492818,1,155945.11
15754849,113251,1,54719.565
15754849,823565,0,54716.565
15602280,826958,1,56045.835
15602280,535533,0,56032.835
15771573,448039,1,137867.8
15766205,887120,0,51726.69
15766205,188032,0,51705.69
15771873,879842,1,51905.61
15771873,790569,0,51901.61
15616550,455730,1,58212.685
15616550,218383,0,58183.685
15768193,782027,0,73045.485
15768193,948582,0,73049.485
15683553,393612,0,18
15702298,895032,0,62812.985
15702298,398035,0,62810.985
15569590,491479,1,49270.86
15569590,664845,0,49274.86
